"1","0195153448"
"2","0002005018"
"3","0060973129"
"4","0374157065"
"5","0393045218"
"6","0399135782"
"6","0804106304"
"6","080410753X"
"6","0679748083"
"6","0399146431"
"6","0399141146"
"6","0804114986"
"7","0425176428"
"8","0671870432"
"9","0679425608"
"10","074322678X"
"11","0771074670"
"12","080652121X"
"13","0887841740"
"14","1552041778"
"15","1558746218"
"15","155874262X"
"15","1558744150"
"15","1558744606"
"15","1558747028"
"15","1558744630"
"15","1558746161"
"15","1558747109"
"15","1558747699"
"15","1558746986"
"15","1558748040"
"15","0757300421"
"15","1558743316"
"15","1558747613"
"15","1558745718"
"16","1567407781"
"17","1575663937"
"18","1881320189"
"19","0440234743"
"19","0440225701"
"19","0385497466"
"19","0385508042"
"19","0385511612"
"19","044023722X"
"19","0385416342"
"19","038542471X"
"19","044021145X"
"19","0385490992"
"19","0385424728"
"19","0385472951"
"19","0385505833"
"19","0385493800"
"19","0440211727"
"19","044022165X"
"19","0385508417"
"19","0385510438"
"19","0440224764"
"19","0440236673"
"19","0099244926"
"19","0440214041"
"19","0385424736"
"19","0375433465"
"19","0440241537"
"19","0440221471"
"19","3453169247"
"19","0385421982"
"19","0440213525"
"19","0099245027"
"19","0099993805"
"19","0440220602"
"19","0440241073"
"19","3453127013"
"19","0385503822"
"19","3453136411"
"20","0452264464"
"20","0452264790"
"20","0452260116"
"20","1400076218"
"20","0452283868"
"20","0452280621"
"20","0394423291"
"21","0609804618"
"22","1841721522"
"23","1879384493"
"24","0061076031"
"25","0439095026"
"26","0689821166"
"27","0971880107"
"28","0345402871"
"28","0345417623"
"28","0345378490"
"28","0345370775"
"28","0752999958"
"28","0345380371"
"28","034540288X"
"28","0345378482"
"28","0061015725"
"28","0345353145"
"28","0679446486"
"28","0394588169"
"28","0345391055"
"28","0066214122"
"28","0679444815"
"28","0394589424"
"28","0345354621"
"28","0345354613"
"29","0684823802"
"30","0375759778"
"31","0425163091"
"32","3404921038"
"33","3442353866"
"34","3442410665"
"35","3442446937"
"36","0375406328"
"36","0679767789"
"36","0375413081"
"36","0375706062"
"37","0446310786"
"37","0446310492"
"37","0435120964"
"37","0060935464"
"38","0449005615"
"38","0345465083"
"39","0060168013"
"39","0571197639"
"39","0060915544"
"39","0060917016"
"39","0060930535"
"39","0060175400"
"39","0060922532"
"39","0061097314"
"39","0060504080"
"39","0060199652"
"39","0060504072"
"39","0060959037"
"39","0060921145"
"40","038078243X"
"40","0380804743"
"40","0380770334"
"41","055321215X"
"41","0140620664"
"41","0140620427"
"41","0140620109"
"41","0553211978"
"41","0486290492"
"41","0553212761"
"41","0553213105"
